police_station,day_of_week,hour,total_pcu_impact,raw_violation_count,two_wheeler_count,three_wheeler_count,heavy_vehicle_count,validation_approved_count,junction_violation_count,avg_offence_count,avg_violation_count,is_weekend,month,is_festival,is_second_saturday,lat_mean,lon_mean,two_wheeler_ratio,three_wheeler_ratio,heavy_vehicle_ratio,validation_ratio,junction_ratio,distance_to_cbd,hour_sin,hour_cos,day_sin,day_cos,zone_archetype,zone_archetype_code,weekend_surge_ratio,persistence_score,historical_violations,spatial_lag_pcu,spatial_lag_delta
Adugodi,0,0,4.5,5,1,0,0,1.0,1,1.0,1.0,0.0,2.0,0.0,0.0,12.93496024,77.62685802,0.2,0.0,0.0,0.2,0.2,5.3682703300049175,0.0,1.0,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,2.375,-2.125
Adugodi,0,1,30.0,33,7,0,0,4.0,4,1.0,1.0,0.0,2.0,0.0,0.0,12.93823853939394,77.62297239090908,0.21212121212121213,0.0,0.0,0.12121212121212122,0.12121212121212122,4.818118358298844,0.25881904510252074,0.9659258262890683,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,5.625,-24.375
Adugodi,0,2,4.0,4,0,0,0,2.0,0,1.0,1.0,0.0,1.0,0.0,0.0,12.936258375,77.6172948,0.0,0.0,0.0,0.5,0.0,4.635911558573773,0.49999999999999994,0.8660254037844387,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,0.375,-3.625
Adugodi,0,3,22.5,29,12,2,0,3.0,2,1.103448275862069,1.103448275862069,0.0,3.0,0.0,0.0,12.933167762068965,77.62958673103448,0.41379310344827586,0.06896551724137931,0.0,0.10344827586206896,0.06896551724137931,5.712878637532449,0.7071067811865476,0.7071067811865476,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,7.625,-14.875
Adugodi,0,4,27.75,43,30,1,0,1.0,1,1.0232558139534884,1.0232558139534884,0.0,3.0,0.0,0.0,12.935991081395347,77.6263496116279,0.6976744186046512,0.023255813953488372,0.0,0.023255813953488372,0.023255813953488372,5.2455008161962855,0.8660254037844386,0.5000000000000001,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,3.625,-24.125
Adugodi,0,5,10.75,14,6,1,0,5.0,2,1.2857142857142858,1.2857142857142858,0.0,3.5,0.0,0.0,12.938329642857143,77.62016736428572,0.42857142857142855,0.07142857142857142,0.0,0.35714285714285715,0.14285714285714285,4.621955893577115,0.9659258262890683,0.25881904510252074,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,7.0,-3.75
Adugodi,0,6,17.0,21,9,0,1,5.0,10,1.0476190476190477,1.0476190476190477,0.0,2.0,0.0,0.0,12.93664769047619,77.61840422380952,0.42857142857142855,0.0,0.047619047619047616,0.23809523809523808,0.47619047619047616,4.664663395838935,1.0,6.123233995736766e-17,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,3.0,-14.0
Adugodi,0,7,35.0,45,21,2,0,16.0,19,1.1111111111111112,1.1111111111111112,0.0,2.0,0.0,0.0,12.936886897777777,77.61806474000001,0.4666666666666667,0.044444444444444446,0.0,0.35555555555555557,0.4222222222222222,4.622184935097528,0.9659258262890683,-0.25881904510252063,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,5.375,-29.625
Adugodi,0,8,26.0,37,23,0,0,9.0,27,1.0810810810810811,1.0810810810810811,0.0,3.0,0.0,0.0,12.934893167567568,77.61699158108108,0.6216216216216216,0.0,0.0,0.24324324324324326,0.7297297297297297,4.748403568973598,0.8660254037844387,-0.4999999999999998,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,2.25,-23.75
Adugodi,0,9,13.5,17,7,0,0,11.0,9,1.1764705882352942,1.1764705882352942,0.0,11.0,0.0,0.0,12.935675935294118,77.61856480588234,0.4117647058823529,0.0,0.0,0.6470588235294118,0.5294117647058824,4.764533037357548,0.7071067811865476,-0.7071067811865475,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,9.75,-3.75
